id;name;host_id;host_name;neighbourhood_group;neighbourhood;latitude;longitude;room_type;price;minimum_nights;number_of_reviews;last_review;reviews_per_month;calculated_host_listings_count;availability_365
16593390;Apto Cond. Barra Sol - Barra da Tijuca - ABM;73183440;Cynthia;;Barra da Tijuca;-23.005491;-43.32623319;Entire home/apt;398;3;1;18/09/2017;0.08;1;326
18161860;Luxury Apartment - Barra da Tijuca Beach;64412171;Geisi;;Barra da Tijuca;-23.00961629;-43.31828413;Entire home/apt;1300;2;0;;;4;363
14104516;Olympics Perfect Location Barra da Tijuca Spacious;19260921;Frederico;;Barra da Tijuca;-23.00664641;-43.3194922;Entire home/apt;800;6;0;;;1;88
21844236;Aparte Hotel - Barra da Tijuca.;156946617;Francisco Carlos;;Barra da Tijuca;-23.00660424;-43.31917604;Entire home/apt;300;1;2;19/02/2018;0.22;1;203
8522958;Apartamento excelente!!!;44876824;Oswaldo;;Jacarepaguá;-22.97041993;-43.39239265;Entire home/apt;162;1;7;11/04/2018;0.5;1;192
2267963;Ap 2 quartos em frente BRT, a uma estação do metrô;9398312;Rodrigo Lianot;;Barra da Tijuca;-23.00521529;-43.32565385;Entire home/apt;349;4;0;;;2;363
23135862;Flat Verano - Barra da Tijuca (Rio de Janeiro);11058442;Monica;;Jacarepaguá;-22.9686382;-43.38831281;Entire home/apt;225;1;1;13/02/2018;0.12;1;55
1991406;Apt duplex barra da tijuca 2suites;7955669;Katia;;Barra da Tijuca;-23.00600918;-43.32450257;Entire home/apt;409;1;0;;;15;365
12592541;Penthouse 2 blocks from the beach;68312195;Ivanor;;Barra da Tijuca;-23.00962398;-43.31792815;Entire home/apt;1878;14;0;;;1;363
14461893;Estrelas - ROCK IN RIO 2017;73049122;Jamille;;Jacarepaguá;-22.96903011;-43.3920409;Entire home/apt;398;15;1;25/09/2017;0.08;1;365
20810827;Apartamento próximo ao Rock in Rio.;131614336;Willian;;Jacarepaguá;-22.96796819;-43.39069074;Entire home/apt;398;5;0;;;1;89
2262835;2 quartos a uma quadra da praia;11554931;Felipe;;Barra da Tijuca;-23.0082286;-43.32220091;Entire home/apt;3380;1;0;;;1;365
13750212;Apto Duplex - 2suítes - 80m² - Downtown Barra;4706314;Eduardo;;Barra da Tijuca;-23.00525369;-43.32449708;Entire home/apt;274;5;1;15/08/2016;0.04;6;365
13059300;Apartment for 2016 Olympics;53420450;Rosana Cristina;;Barra da Tijuca;-23.00519228;-43.31796386;Entire home/apt;2178;1;0;;;1;133
6781367;Penthouse In Lagoa - Great View;35413782;Rafaela;;Lagoa;-22.97791905;-43.19827633;Entire home/apt;1390;1;0;;;1;365
7970000;Apartamento Ipanema vista lagoa;42055332;Renata;;Ipanema;-22.97918603;-43.19927178;Entire home/apt;999;1;3;21/08/2016;0.09;1;365
9101515;Lagoa com vista deslumbrante!!;34436210;Philip;;Ipanema;-22.97916093;-43.1980237;Entire home/apt;999;3;2;12/09/2016;0.06;20;364
27421748;Cobertura Duplex entre Copacabana e a Lagoa;171276187;Sergio;;Lagoa;-22.97590342;-43.19780876;Entire home/apt;578;4;0;;;4;344
2276441;IPANEMA  disponível Olimpiadas;315989;Luciana;;Ipanema;-22.98092026;-43.20059868;Entire home/apt;939;4;0;;;3;358
3230385;SEA VIEW (Website hidden by Airbnb) CHARMING STUDIO;16323335;Marcia;;Leme;-22.96397582;-43.17087907;Entire home/apt;101;3;138;7/10/2018;2.65;1;5
371899;Wonderful Penthouse Rio de Janeiro;1872525;Hanna;;Lagoa;-22.97582165;-43.19709941;Entire home/apt;999;4;1;2/03/2017;0.05;1;180
2648619;ECONÓMICO LINDO APTO FRENTE PRAIA CONJUGADO REFORM;530471;Hugo;;Botafogo;-22.94550102;-43.18138081;Entire home/apt;124;4;0;;;5;255
13693015;Wake up with Sugar Loaf View;49511393;Ana Carolina Inez Nobre;;Botafogo;-22.94351744;-43.18308543;Entire home/apt;282;5;1;14/08/2016;0.04;2;345
27198797;Apartamento tranquilo e bem localizado.;188932448;Sonia Sandra;;Botafogo;-22.94437992;-43.18554743;Entire home/apt;199;4;0;;;1;219
20225762;Studio Barra Hotel Gran Nobile, Ex Sheraton;44622369;Elisa;;Barra da Tijuca;-23.01046022;-43.32664864;Entire home/apt;270;2;1;22/03/2018;0.15;2;90
16159715;Linda cobertura na Barra próximo a shopping, praia;49497053;Arcanjo;;Barra da Tijuca;-23.00564659;-43.31904116;Entire home/apt;500;3;1;1/03/2017;0.05;2;87
16364077;Apto 1 Q amplo e confortável Barra;43517366;Sandro;;Barra da Tijuca;-23.00676528;-43.31928113;Entire home/apt;120;5;0;;;1;40
11269739;2 quartos na Barra frente para mar;58840467;Lucia Helena;;Barra da Tijuca;-23.00513508;-43.31800471;Entire home/apt;601;7;0;;;1;180
296910;Nice place and maid servic optional;1518901;Gustavo E Renata;;Barra da Tijuca;-23.00683608;-43.32427115;Entire home/apt;282;5;13;26/09/2017;0.17;1;365
13316891;Barra da Tijuca apt 4qt°;75287424;Rosa;;Barra da Tijuca;-23.00521913;-43.32526439;Entire home/apt;999;10;0;;;1;89
18932534;Barramares;119687275;Neide;;Barra da Tijuca;-23.00992094;-43.32874789;Entire home/apt;300;2;1;24/08/2017;0.06;1;362
11531217;Apart Hotel 1,300 ft2 with Wi-Fi!;15485041;Murilo;;Barra da Tijuca;-23.00776715;-43.32664335;Entire home/apt;252;10;2;30/01/2017;0.08;1;354
9651182;O seu apto para ferias na Barra!!!;1539403;Nazaré Sady;;Barra da Tijuca;-23.00804412;-43.32752093;Entire home/apt;207;3;0;;;2;363
3575801;Penthouse in central location;8196741;Andrea;;Botafogo;-22.94413416;-43.18547272;Entire home/apt;977;2;3;10/02/2016;0.07;2;351
2050994;Apto 3 qts (2 suítes) na rua da praia, frente mar;6471631;Cynthia;;Barra da Tijuca;-23.00993987;-43.32703762;Entire home/apt;988;3;5;16/02/2018;0.19;1;88
14011095;Apto Luxo, locação dias,meses, YEAR;50458137;Mariana;;Leme;-22.96522607;-43.172535;Entire home/apt;714;1;0;;;54;180
900178;Bedroom with backyard in Santa Teresa;4806631;Lu;;Santa Teresa;-22.9176431;-43.18658679;Private room;199;3;16;16/08/2016;0.23;2;364
7036482;Bela Vista;36891255;Lucia;;Santa Teresa;-22.91993337;-43.1849148;Private room;109;1;6;1/01/2018;0.28;1;364
16028451;Beautiful Flat with Seafront View, Leme Copacabana;22345333;Cathy;;Leme;-22.96413877;-43.16854385;Entire home/apt;398;2;2;15/02/2018;0.09;1;101
26157518;Suíte Ipanema - Com varanda em Santa Teresa;193205371;Victor;;Santa Teresa;-22.92074071;-43.18501921;Private room;162;1;5;7/09/2018;1.38;8;360
1127569;Birdland;1821257;Gonzalo;;Santa Teresa;-22.92037809;-43.1870942;Private room;94;2;1;31/01/2018;0.12;1;180
7919582;Cozy room with double bed;1863194;Delfina;;Santa Teresa;-22.91961453;-43.18965004;Private room;83;1;1;2/01/2018;0.11;5;194
22372925;Apartamento com vista para a praia de Copacabana;1982737;Diogo;;Copacabana;-22.9704371;-43.18231358;Entire home/apt;443;2;0;;;49;173
21432863;Ocean View 3 BDRM in the heart of Copacabana;26414324;Alire;;Copacabana;-22.97054581;-43.1837229;Entire home/apt;500;3;0;;;12;358
27056411;Luxury Family Near Copacaba Beach;70063892;Carolina;;Copacabana;-22.96955301;-43.18449806;Entire home/apt;1998;2;0;;;2;364
295683;Fresh n' Pendant-Botafogo;1526357;Antonio  ( Ton' );;Botafogo;-22.94711997;-43.18553809;Private room;101;1;146;9/09/2018;1.78;2;43
13894516;Quarto aconchegante em Santa Teresa - RJ;82309834;Flavia;;Santa Teresa;-22.91939421;-43.18492044;Private room;75;1;3;16/02/2018;0.11;2;363
960383;Blue Suite in luxury Art Déco House;5228704;Antoni;;Santa Teresa;-22.92102847;-43.18739784;Private room;379;1;1;31/07/2016;0.04;5;346
22671636;Lindíssimo quarto num ap luminoso e arejado!;9304094;Carolina;;Centro;-22.91706231;-43.18879259;Private room;79;1;1;19/03/2018;0.14;2;323
18805519;Von Haus - Suite privativa na Lapa - Rua tranquila;15679172;Vinicius;;Santa Teresa;-22.9174877;-43.18521559;Private room;466;4;2;12/06/2018;0.22;3;33
23061590;Laranjeiras - Loft overlooking Christ <3;93726802;Laryssa;;Laranjeiras;-22.93505841;-43.19016115;Entire home/apt;150;1;3;18/08/2018;0.37;1;342
22228996;Calm apartment in Copacabana center;91654021;Daniel;;Copacabana;-22.97018399;-43.18382514;Entire home/apt;297;3;0;;;213;365
14698404;Love Copacabana;16068975;Tais;;Copacabana;-22.97028272;-43.18318586;Entire home/apt;548;3;0;;;6;316
